gene_IDs	gene_names	logFC	PValue
ENSG00000000003	TSPAN6	0.250318121866774	0.106757557293248
ENSG00000000005	TNMD	-0.41328998204194	0.144362299573874
ENSG00000000419	DPM1	0.622186256552604	3.00578972327317e-06
ENSG00000000457	SCYL3	-0.305765699931349	0.00026366836826971
ENSG00000000460	C1orf112	1.24140087646449	5.51268438701093e-22
ENSG00000000938	FGR	0.144159405193023	0.442700343598979
ENSG00000000971	CFH	-1.32333002121673	6.3056402708935e-15
ENSG00000001036	FUCA2	-0.00745319695927924	0.941125755708755
ENSG00000001084	GCLC	0.054096354032188	0.547780494218987
ENSG00000001167	NFYA	0.514983124075286	7.25652327853905e-11
ENSG00000001460	STPG1	-1.17204492581666	1.63332934785278e-25
ENSG00000001461	NIPAL3	-0.530489619804731	3.12702094342912e-09
ENSG00000001497	LAS1L	1.09078283048569	2.92806444373881e-20
ENSG00000001561	ENPP4	-0.570413642759052	2.25286295400682e-05
ENSG00000001617	SEMA3F	1.03540689854404	1.14789145454544e-07
ENSG00000001626	CFTR	-0.48777647315632	0.0899594886570753
ENSG00000001629	ANKIB1	0.09963218950671	0.350563378155054
ENSG00000001630	CYP51A1	0.707966608518277	0.000212317090358842
ENSG00000001631	KRIT1	0.291375742013399	0.0112893718941598
ENSG00000002016	RAD52	-0.185409789163077	0.0405808434216162
ENSG00000002330	BAD	-0.900374442629288	9.04251923294817e-10
ENSG00000002549	LAP3	-0.028767537395868	0.833221421718298
ENSG00000002586	CD99	-0.353953674040059	0.00319930093219437
ENSG00000002587	HS3ST1	0.700878047442598	6.88228133043905e-07
ENSG00000002726	AOC1	-2.02844298384006	8.88882482802416e-25
ENSG00000002746	HECW1	1.32376844640382	6.46325299157961e-08
ENSG00000002822	MAD1L1	0.489526633339804	1.71838177310207e-05
ENSG00000002834	LASP1	-0.542659666355104	3.31207399004574e-06
ENSG00000002919	SNX11	-0.362784784304706	6.2754145460536e-05
ENSG00000002933	TMEM176A	-0.248672045923505	0.182286802213808
ENSG00000003056	M6PR	0.428707815110512	5.60941936170512e-08
ENSG00000003096	KLHL13	-1.5951268226396	8.90527598362827e-08
ENSG00000003137	CYP26B1	-1.34887978445267	6.95990254804333e-12
ENSG00000003147	ICA1	0.889530371204261	4.85897088519808e-16
ENSG00000003249	DBNDD1	2.07629414570708	1.73184669397338e-35
ENSG00000003393	ALS2	0.508145166598677	1.10869583944516e-05
ENSG00000003400	CASP10	-0.967403515857774	2.3187797782368e-12
ENSG00000003402	CFLAR	-0.456088721307591	1.4128491596981e-05
ENSG00000003436	TFPI	-0.833338626270985	0.000472937535626697
ENSG00000003509	NDUFAF7	0.335590556576073	0.000237328370268968
ENSG00000003756	RBM5	-0.00820410590072711	0.929145078054301
ENSG00000003987	MTMR7	-1.07152489708516	8.82417212247713e-06
ENSG00000003989	SLC7A2	-1.31623105015413	5.92755970580142e-06
ENSG00000004059	ARF5	0.361179777792599	0.0268642601968589
ENSG00000004139	SARM1	-0.0288468055528323	0.815633540207034
ENSG00000004142	POLDIP2	0.190631525339135	0.0827269156756374
ENSG00000004399	PLXND1	0.44535117663421	0.00158801560179642
ENSG00000004455	AK2	-0.117757559041398	0.206208821858007
ENSG00000004468	CD38	-1.33460170993068	7.82113543397989e-09
ENSG00000004478	FKBP4	0.514850540497561	6.55050900243268e-06
ENSG00000004487	KDM1A	0.797153312829875	3.08786513718625e-11
ENSG00000004534	RBM6	0.166180872838217	0.1560474558109
ENSG00000004660	CAMKK1	0.748872534488414	5.60664613974297e-08
ENSG00000004700	RECQL	0.342388482020524	0.00539679178254567
ENSG00000004766	VPS50	-0.0423788145728617	0.723912159257103
ENSG00000004776	HSPB6	-3.02425389962146	8.7213938471334e-16
ENSG00000004777	ARHGAP33	1.12598309354066	1.56186277588501e-08
ENSG00000004779	NDUFAB1	-0.0218134539373683	0.862836813777831
ENSG00000004799	PDK4	-3.22554710957112	1.88019256920472e-49
ENSG00000004838	ZMYND10	0.995806166511113	4.64103474919202e-05
ENSG00000004848	ARX	-1.53117224082387	0.000920553992630332
ENSG00000004864	SLC25A13	-0.230158160022174	0.0603369138839846
ENSG00000004866	ST7	0.796076959637853	3.75604795278699e-17
ENSG00000004897	CDC27	0.0739965331523682	0.621675021926518
ENSG00000004961	HCCS	-0.203991682130712	0.046753127635734
ENSG00000004975	DVL2	0.177038337325743	0.133501888155054
ENSG00000005001	PRSS22	4.24375408625509	1.76130385468384e-49
ENSG00000005007	UPF1	0.173735698251595	0.127232461601789
ENSG00000005020	SKAP2	-0.802727967209082	4.70286139373231e-09
