gene_IDs	gene_names	logFC	PValue
ENSG00000000003	TSPAN6	-1.01898140666689	3.97687278847534e-36
ENSG00000000005	TNMD	-1.5680233117578	1.17921830642349e-05
ENSG00000000419	DPM1	-0.0727818287281335	0.136785986403561
ENSG00000000457	SCYL3	-0.363213012619729	2.58639770408059e-14
ENSG00000000460	C1orf112	0.599270747301999	3.2211969854767e-18
ENSG00000000938	FGR	1.45239322457843	9.63747318417828e-34
ENSG00000000971	CFH	0.415742256507932	0.0254432483665374
ENSG00000001036	FUCA2	0.129472081027434	0.0439467249975234
ENSG00000001084	GCLC	0.206235080313103	0.0261972770766692
ENSG00000001167	NFYA	-0.0334355966635894	0.524634177521564
ENSG00000001460	STPG1	-0.580359698322251	3.22630436176783e-18
ENSG00000001461	NIPAL3	-0.452347840092516	1.78575365923421e-06
ENSG00000001497	LAS1L	0.30907438147854	8.14698249712822e-07
ENSG00000001561	ENPP4	-0.393563256233086	8.31473337942021e-06
ENSG00000001617	SEMA3F	1.22327664345364	5.40638972225067e-31
ENSG00000001626	CFTR	-2.46590648576986	8.66543199216174e-17
ENSG00000001629	ANKIB1	0.102910125870422	0.17951408332168
ENSG00000001630	CYP51A1	-1.2285886583329	5.00076739024064e-26
ENSG00000001631	KRIT1	0.0994320015282613	0.103213525854853
ENSG00000002016	RAD52	0.040163066782595	0.513724596352035
ENSG00000002330	BAD	0.140529203602734	0.150169831292406
ENSG00000002549	LAP3	0.0985210431462988	0.318089207961476
ENSG00000002586	CD99	1.22301954787272	5.13890874345353e-37
ENSG00000002587	HS3ST1	-0.766989892542848	2.81029923600922e-06
ENSG00000002726	AOC1	-0.918674332491168	0.00138654829937609
ENSG00000002746	HECW1	-3.18833617719995	1.27557013020867e-12
ENSG00000002822	MAD1L1	0.332342884079703	8.41030480987911e-05
ENSG00000002834	LASP1	0.378532169238361	2.39177240961867e-11
ENSG00000002919	SNX11	-0.230046542021683	3.99127898475164e-06
ENSG00000002933	TMEM176A	1.37672018274413	7.59811289966769e-22
ENSG00000003056	M6PR	0.212796821456337	0.000627056686272498
ENSG00000003096	KLHL13	-2.04877137905983	7.2528916292303e-67
ENSG00000003137	CYP26B1	-1.62827930050037	5.96260593951193e-21
ENSG00000003147	ICA1	-1.25563630484402	1.51384168058345e-38
ENSG00000003249	DBNDD1	-0.0797175001476983	0.590351229934697
ENSG00000003393	ALS2	-0.161238901103212	0.00137597577675259
ENSG00000003400	CASP10	0.19113700613733	0.00300188053333153
ENSG00000003402	CFLAR	0.328044328362486	1.58294916660709e-07
ENSG00000003436	TFPI	1.06456530310789	2.88341775082835e-11
ENSG00000003509	NDUFAF7	0.026905350565056	0.680472330051402
