gene_IDs	gene_names	logFC	PValue
ENSG00000000003	TSPAN6	0.131772699951322	0.557323614491152
ENSG00000000419	DPM1	0.453035495498179	0.00106264035476907
ENSG00000000457	SCYL3	-0.0905803711380894	0.575569668737832
ENSG00000000460	C1orf112	1.22610943370904	1.07335215588061e-13
ENSG00000000938	FGR	0.351625432637324	0.101592030318628
ENSG00000000971	CFH	-0.275855867562998	0.226496221674144
ENSG00000001036	FUCA2	0.735814014960565	0.000113476228689467
ENSG00000001084	GCLC	-0.168730857340626	0.273242963478249
ENSG00000001167	NFYA	0.437461714216859	0.000353061231474122
ENSG00000001460	STPG1	-0.37635576226209	0.00898624502735041
ENSG00000001461	NIPAL3	-0.354951315977557	0.00463529577899453
ENSG00000001497	LAS1L	0.409281241452709	0.00281293335020932
ENSG00000001561	ENPP4	-0.115401064015169	0.61446760170308
ENSG00000001617	SEMA3F	-0.0992085088470341	0.683427766739293
ENSG00000001626	CFTR	1.48197306670066	0.0266625561361027
ENSG00000001629	ANKIB1	0.261879804722244	0.101031776533311
ENSG00000001630	CYP51A1	-0.23905311828917	0.294283247590572
ENSG00000001631	KRIT1	0.088189727917681	0.537090767958325
ENSG00000002016	RAD52	-0.0578433505673629	0.678234161903874
ENSG00000002079	MYH16	0.52949299400795	0.180730414000218
ENSG00000002330	BAD	-0.378916603780692	0.00803740527803675
ENSG00000002549	LAP3	0.447350795231404	0.00773857269890871
ENSG00000002586	CD99	-0.514146737078006	0.00285906638697162
ENSG00000002587	HS3ST1	0.419480916686187	0.202335273379187
ENSG00000002726	AOC1	1.73154324468239	0.0200473955395296
ENSG00000002745	WNT16	-0.576779937222135	0.0614637656444022
ENSG00000002746	HECW1	0.42748437562247	0.077636238752907
ENSG00000002822	MAD1L1	0.72933332799781	3.5730162744659e-09
ENSG00000002834	LASP1	0.675071145973019	0.00669842367459497
ENSG00000002919	SNX11	-0.0508037150039884	0.699406300851842
ENSG00000002933	TMEM176A	0.985276914556693	8.67706585760117e-05
ENSG00000003056	M6PR	0.300965039504879	0.0231748214641806
ENSG00000003096	KLHL13	-1.70871996584216	9.29573504918945e-06
ENSG00000003137	CYP26B1	0.219780944738106	0.517397413160309
ENSG00000003147	ICA1	0.800078842563478	0.00195265048873339
ENSG00000003249	DBNDD1	0.589144441548625	0.141493283187969
ENSG00000003393	ALS2	0.289926440656395	0.0387771805728952
ENSG00000003400	CASP10	0.385495921896176	0.217609899130737
ENSG00000003402	CFLAR	-0.066653092085326	0.631543250727491
ENSG00000003436	TFPI	0.226367589761451	0.318695087628272
ENSG00000003509	NDUFAF7	0.142533123185762	0.222840521415725
ENSG00000003756	RBM5	-0.28119526080017	0.0382022922429305
ENSG00000003987	MTMR7	-0.53495035911621	0.0347689448925917
ENSG00000003989	SLC7A2	-0.857415247590466	0.0200568360123796
ENSG00000004059	ARF5	-0.182111329030826	0.241505982686294
ENSG00000004139	SARM1	-0.325954883410814	0.0784614219987352
ENSG00000004142	POLDIP2	0.185590004963955	0.12609558071313
ENSG00000004399	PLXND1	0.915554029168097	5.40367595500614e-07
ENSG00000004455	AK2	0.213736191485765	0.162122988481231
ENSG00000004468	CD38	0.0736046809809156	0.839864288632624
ENSG00000004478	FKBP4	0.366348873671731	0.0333399000433656
ENSG00000004487	KDM1A	0.407667657168754	0.00144236606247994
ENSG00000004534	RBM6	-0.103394598848802	0.483768649308196
ENSG00000004660	CAMKK1	-0.117809182922218	0.573333972491402
ENSG00000004700	RECQL	0.287999548654491	0.107342321803836
ENSG00000004766	VPS50	0.0383481853333912	0.768921104751127
ENSG00000004776	HSPB6	-3.66164943680812	9.42269598867841e-09
ENSG00000004777	ARHGAP33	0.260880416944434	0.199250390815849
ENSG00000004779	NDUFAB1	-0.188495257328347	0.200741246448998
ENSG00000004799	PDK4	-2.73551395758263	2.69277049200824e-13
ENSG00000004838	ZMYND10	0.429410199170065	0.0595908347147577
ENSG00000004846	ABCB5	-2.16663157011372	2.61344002950182e-05
ENSG00000004848	ARX	0.352693663798217	0.722666562332877
ENSG00000004864	SLC25A13	0.673739417679742	0.00644175445067123
ENSG00000004866	ST7	0.0166577595109614	0.880098761477136
ENSG00000004897	CDC27	0.261038423616488	0.0124641181362412
ENSG00000004961	HCCS	0.167298582024087	0.164698044238213
ENSG00000004975	DVL2	-0.129504064562187	0.399953998801855
ENSG00000005001	PRSS22	1.62542601888773	0.0066636876868445
ENSG00000005007	UPF1	0.334487480925819	0.0142789058525913
ENSG00000005020	SKAP2	-0.0515874611648151	0.678901170252112
ENSG00000005022	SLC25A5	-0.120199943278495	0.559887393963625
ENSG00000005059	MCUB	0.314524731246087	0.0843354083789043
ENSG00000005075	POLR2J	-0.00965389450246652	0.947824575768313
ENSG00000005100	DHX33	0.442002524969892	0.000886737996414634
ENSG00000005102	MEOX1	-0.779019250526477	0.00380802216828048
ENSG00000005108	THSD7A	0.210900699702512	0.388734442408405
